level1_category_name,level2_category_name,leaf_category_name,attribute_type_count,total_attribute_option_count,merchant_count,filterable_label_count,content_creation_date,cv_tags,content_id_hashed
Ayakkabı,Günlük Ayakkabı,Casual Ayakkabı,1.0,6.0,1.0,4.0,2024-03-01 00:00:00+00:00,,8dd1dce889d0e207
Giyim,Üst Giyim,T-Shirt,1.0,8.0,2.0,1.0,2022-03-25 00:00:00+00:00,"sokak şıklığı, rahat kesim, sokak modası",11e60da7c60ab5ea
Aksesuar,Takı & Mücevher,Bijuteri Kolye,1.0,1.0,1.0,0.0,2024-08-24 00:00:00+00:00,,7562f0d2c8889460
Aksesuar,Gözlük,Güneş Gözlüğü,1.0,1.0,1.0,0.0,2025-07-03 00:00:00+00:00,"güneş gözlüğü, şık, ramones, göz alıcı",4c0a5002398cc709
Giyim,Üst Giyim,Softshell & Polar,1.0,6.0,2.0,12.0,2020-10-06 00:00:00+00:00,"hafif, daha büyük bireyler, kışın kat kat giyinme, kat kat giyinme, sıcak",41c07524d0266f79
Aksesuar,Takı & Mücevher,Gümüş Küpe,1.0,1.0,1.0,0.0,2019-05-13 00:00:00+00:00,,fa622df0db930c8f
Aksesuar,Saç Aksesuarı,Toka,1.0,1.0,1.0,0.0,2022-04-14 00:00:00+00:00,"sonbahar, dikkat çekici, aksesuar, yeşil ve altın, kıvrımlı",5a4ea9e163cf34e7
Giyim,Dış Giyim,Ceket,1.0,4.0,1.0,1.0,2025-05-08 00:00:00+00:00,"sonbahar2015, ofis giyimi, büyük beden modası, temel, iş, randevu gecesi, kahve, nötr",565dc2d428b303b8
Giyim,Tesettür Giyim,Tesettür Abiye,1.0,6.0,1.0,1.0,2024-12-05 00:00:00+00:00,"gizemli, mütevazı, canlı, nedime, akşam, resmi durum, koyu renk teması, akşam kıyafeti",198e5dfdb073c234
Aksesuar,Takı & Mücevher,Bijuteri Bileklik,1.0,3.0,1.0,0.0,2024-10-02 00:00:00+00:00,,ee2a6caa42e77f8b
Aksesuar,Çanta,Sırt Çantası,1.0,1.0,1.0,0.0,2025-03-18 00:00:00+00:00,,aa543482b91ad30d
Giyim,Üst Giyim,Gömlek,1.0,3.0,27.0,0.0,2025-03-25 00:00:00+00:00,"kulüp, parti kıyafeti, pastel gotik, baharın vazgeçilmezleri, kawaii, havuz partisi, mavi ve gümüş, bahar yaz2015, nötr, bahar güneşi, yaz modası",d3c934376774dd87
Giyim,Kimono & Kaftan,Kimono & Kaftan,1.0,1.0,2.0,0.0,2024-08-21 00:00:00+00:00,"yaz sandaletleri, güneş şapkası, julie, güneş, canlı, yaz görünümü, tatil yeri, yaz modası, parlaklar, güneş gözlüğü",2356a92883c77418
Aksesuar,Takı & Mücevher,Bijuteri Yüzük,1.0,1.0,1.0,0.0,2023-12-13 00:00:00+00:00,,0af22e5f4856dbc7
Giyim,Ev Giyim,Pijama Takımı,0.0,0.0,0.0,0.0,2024-09-27 00:00:00+00:00,,3b244fec0888c6b8
Giyim,Üst Giyim,Sweatshirt,1.0,1.0,1.0,1.0,2023-11-24 00:00:00+00:00,"kırmızı beyaz mavi, meyve, gül, kawaii, emoji modası, nakış",d3448b5833918aad
Giyim,Alt Giyim,Eşofman Altı,1.0,4.0,1.0,0.0,2025-01-13 00:00:00+00:00,"ev kıyafeti, egzersiz, zumba, hafta sonu, sportif, rahat kesim, sevgi dolu, günlük, aptal, daha büyük bireyler",d0eb097fa12c5ea5
Giyim,Spor Giyim,Spor Sweatshirt,1.0,6.0,7.0,4.0,2024-10-08 00:00:00+00:00,"köpekler, spor giyim, hafta sonu, koşu ayakkabıları, daha büyük bireyler, sıcak",16be9a0a64aea15b
Aksesuar,Saat,Saat,1.0,1.0,1.0,0.0,2025-07-10 00:00:00+00:00,mavi ve gümüş,618033f63b3cdd87
Giyim,Bebek Giyim,Bebek Takımı,1.0,4.0,1.0,0.0,2022-01-28 00:00:00+00:00,,61dc339255c3755d
Giyim,Alt Giyim,Şort & Bermuda,1.0,5.0,1.0,1.0,2025-04-16 00:00:00+00:00,,571d488dc5d4ad71
Ayakkabı,Sandalet ve Terlik,Sandalet,1.0,6.0,4.0,23.0,2025-06-03 00:00:00+00:00,,f0806ccf13199e2b
Aksesuar,Takı & Mücevher,Pırlanta Küpe,1.0,1.0,1.0,0.0,2024-08-05 00:00:00+00:00,,a3246d6c6a21e659
Ayakkabı,Sandalet ve Terlik,Sandalet,1.0,7.0,1.0,4.0,2025-03-26 00:00:00+00:00,,8d6e57a736da56fd
Giyim,Tesettür Giyim,Tesettür Tunik,1.0,3.0,1.0,1.0,2025-01-14 00:00:00+00:00,"beyaz üzerine beyaz, kırmızı beyaz mavi, nakış, işleme",946f99e57a51f0e8
Giyim,Takımlar,Alt - Üst Takım,1.0,5.0,1.0,0.0,2025-06-02 00:00:00+00:00,,69fd3d86e7015ee8
Giyim,Üst Giyim,Gömlek,1.0,5.0,1.0,0.0,2025-06-05 00:00:00+00:00,"günlük, ev kıyafeti, damat, joel, tatil yeri, rahat kesim",3d927267657c13c7
Giyim,Tesettür Giyim,Eşarp,1.0,2.0,6.0,3.0,2025-03-06 00:00:00+00:00,,71a0b7dfe08aa1c2
Giyim,İç Giyim,Külot,1.0,1.0,1.0,1.0,2021-12-30 00:00:00+00:00,,71c2438c16fb37b3
Ayakkabı,Spor Ayakkabı,Sneaker,1.0,5.0,6.0,0.0,2023-09-16 00:00:00+00:00,"koşu, beyaz üzerine beyaz, tenis, koşu ayakkabıları",a11f97d08624ae56
Aksesuar,Çanta,Cüzdan,1.0,1.0,1.0,0.0,2025-01-23 00:00:00+00:00,,132741501ef5e34c
